k10_1,k10_2,k10_3,k11_1,k11_2,k12,k13,k14,k21,k31,k41,k42,k51,k52,k61,k71,k81,k82,k91,r31,tau1,tau2,tau3,tau4,tau5,tau6
91.01227589645376,83.8168887865225,1.6358988737280415,62.75110686085718,78.52613449118157,52.89783712007598,63.10342857123777,58.165872084887184,74.66888999196877,63.23999868782424,62.84043183629955,78.31391245579727,86.18521921312977,78.90352222056181,78.17578614361133,81.1388582808198,84.45656956908935,84.5438865579823,74.48440692333641,65.57164192414027,77.94180179507461,65.24383302891313,50.85504555613537,70.20698346662746,82.75346612772863,99.99892742928695
91.01088818143252,83.81611739413418,1.6333944660339093,62.74689366608064,78.52490660598825,52.898049703372685,63.10417934679706,58.16445395103338,74.66747304451266,63.239132485676166,62.841312563481566,78.31478210603775,86.18425824444552,78.90386502221004,78.17187569758944,81.13667621938713,84.45924894221561,84.540951974676,74.47175278601887,65.56438373427606,77.9437525688183,65.24204292348931,50.84859243010552,70.20237449772361,82.75269617518775,99.99892719626881
91.01522631972752,83.81860801794642,1.6233027207205037,62.74011407114378,78.5242760984556,52.90557554228763,63.09986669791893,58.160500614452395,74.6817049938644,63.24003931675802,62.833936455273175,78.31528149237164,86.18556843548649,78.90268905365018,78.1743915380476,81.13736266190989,84.46351058716292,84.54447686193438,74.42714400801158,65.56356189523157,77.94042734776741,65.24391738419662,50.84760583336928,70.19775813496386,82.75121516142687,99.99892684879026
91.01717642311694,83.81862693441687,1.620826050583972,62.73917811373262,78.5240935986272,52.90019966914367,63.09531434400962,58.16079318317523,74.68187157473287,63.24257093058922,62.834037462958214,78.31337621354827,86.18301012372835,78.90554308491812,78.17408606055366,81.13744604237158,84.47173211111974,84.54329468917608,74.41759255320058,65.56426698604999,77.93952943600162,65.23821517568851,50.84750992968689,70.19839244364574,82.75086269727001,99.99892680096349
91.01838203024585,83.8219046207773,1.6183631889593753,62.73623903080837,78.52639597560429,52.90102343853233,63.09190970505315,58.15557340179276,74.68283447177353,63.249115817265015,62.832340528332054,78.31453188580562,86.18296933958393,78.9066740071658,78.18013546871526,81.13694267576288,84.47407135443127,84.54405399906994,74.40679856281947,65.57192997563493,77.93897155760942,65.24132854947865,50.843627435348424,70.20249706461541,82.7508152109708,99.9989270201705
91.0184827679685,83.81994284205621,1.6158079559740326,62.735362788788095,78.52687283890701,52.906259790974715,63.093049941002946,58.15000564613374,74.68068364984292,63.247823292830375,62.83072705869323,78.31285654287277,86.1833677078409,78.9029005353611,78.17971149354558,81.1373642259967,84.47727830374609,84.545851459835,74.40075974733101,65.57592385710937,77.94016038122265,65.23984528976602,50.850196517344806,70.20169790835831,82.74757856425342,99.99892709190357
91.02056022907286,83.8208433249614,1.6132691791587221,62.73608969481621,78.52661158529678,52.90385029025912,63.099585246478405,58.14587554074191,74.68464749474778,63.24849529166089,62.83458912504125,78.31398564787997,86.18250539618329,78.90333364373629,78.17693844986464,81.13948209824636,84.48104026928792,84.54464337343865,74.39331238166845,65.57684088178976,77.93790251479027,65.23629571299593,50.85226016987775,70.2034842656339,82.75158936303256,99.99892700881722
91.02395544901835,83.82032396671045,1.610654008846563,62.73886466040766,78.52224149404536,52.9014932182543,63.10813054938242,58.14569443391506,74.68234743456426,63.251817264909405,62.83649967431204,78.31172594199231,86.18530747749351,78.9065524400112,78.17848787014282,81.1415922508125,84.48288022007613,84.54489875364106,74.38355188604514,65.5809959724319,77.93981347250012,65.23838896270965,50.851779688948575,70.2000932547263,82.7489096077575,99.99892702041909
91.026427432663,83.81955792345461,1.6084396500437632,62.73553071840515,78.52062682650161,52.8982215531675,63.10587331438232,58.150155578971805,74.67949518162449,63.25227842536824,62.83641475143278,78.30876178502476,86.187813744021,78.90920494057728,78.1762775930238,81.1403168743651,84.4890672178624,84.54451571677384,74.37442575386999,65.5724202306586,77.94102867030124,65.23858414372765,50.85165850965267,70.19923976324445,82.74436485090655,99.99892694281918
91.02580643729775,83.82562095046386,1.6060173907641477,62.73542941096506,78.51816035462072,52.899472666013125,63.10463912043387,58.152209645194134,74.67894488300568,63.25025897830011,62.84136672826054,78.30821831168318,86.18876534147374,78.90963016294805,78.17526006961889,81.14300361277125,84.49238442547976,84.54522668153191,74.36309368036493,65.57812456907236,77.94130508554794,65.23414001888797,50.85048539103545,70.19497558062349,82.74530020810377,99.99892706412012
91.02647688011022,83.82421400663218,1.6033441698779756,62.729926944127314,78.52064192688212,52.899051674537446,63.10332111050862,58.15203219103281,74.67549719852798,63.24567138462381,62.8381468476292,78.30371866970356,86.18772081597994,78.91134629683883,78.17493920580411,81.14192876203823,84.4934796928548,84.54665114822056,74.34719418429391,65.5812521526051,77.9401997904085,65.2306853749408,50.857541611066246,70.19655246426396,82.74498895212578,99.99892708586144
91.03131519566364,83.83266368552347,1.5920791313441502,62.730058908458986,78.52062283396614,52.891642496017134,63.09428163627514,58.14718420916648,74.67155444541802,63.25599882069505,62.8378076318454,78.31034237700514,86.18344965267627,78.91029742896677,78.17662153872085,81.13973892333138,84.51002839195927,84.55212068947114,74.31104662441832,65.57813234039132,77.93497902923427,65.24120743892011,50.84209530412376,70.19388416895043,82.74775981355181,99.99892726781825
91.03313088272964,83.83059975444922,1.5893433426101995,62.73095805811697,78.51903639322659,52.89396502346268,63.09694757996088,58.148258258690454,74.67102981354739,63.25238086400451,62.842210664159204,78.30916292263464,86.1805199320446,78.9125705074527,78.17389635596851,81.13622299966278,84.51426513164499,84.55331001981857,74.30187146073314,65.57361900165081,77.93337244666483,65.24144322451171,50.84143963352737,70.20103832956619,82.75014579546766,99.99892693561178
91.03431440128487,83.82960289713962,1.5867142012140174,62.72493431547399,78.51848037823576,52.89103764074285,63.097264213369044,58.15020982275876,74.66787003721564,63.253243685862245,62.842287204493196,78.31267553380945,86.17734318811604,78.91098160190737,78.17477313662219,81.13560823347012,84.51766535805167,84.55354064184495,74.30033333783392,65.57347197513482,77.93193293818312,65.24487470492454,50.83976256313274,70.20165325210466,82.75259278234476,99.99892733878814
91.03706108729104,83.83041151661517,1.5841275332129396,62.725250167345024,78.52058737639769,52.89400238043975,63.09603383366769,58.14893987567209,74.66746080930645,63.248753087455526,62.83473288047462,78.31278845495154,86.17714506275999,78.90785125921056,78.16958781207771,81.13625576073638,84.52263077608944,84.55194540981135,74.29166516903071,65.56789182427664,77.93330723079004,65.2475046234322,50.83828792724889,70.19798066792072,82.75160080116943,99.99892738867345
91.03956427966779,83.83049566926587,1.5814209651174267,62.7243497573004,78.52010342232357,52.89123228680188,63.09471632353838,58.15107806385684,74.67158432065557,63.24872111779213,62.83522927217344,78.31560240854319,86.17823905754824,78.91028780681475,78.16915061829584,81.14017891405315,84.5262875149573,84.5473272518924,74.28252821834593,65.56443847776893,77.92848038927752,65.2449233371285,50.82934421548471,70.20204916806753,82.74982660469813,99.998927357566
